date,symbol,open,high,low,close,adj_close,volume,close_pct_change,created_at
2024-10-18,RNEW,24.8814,24.8814,24.8814,24.8814,24.8814,N/A,0.0,2025-11-02 14:16:04
2024-10-18,AAPL,236.18,236.18,234.01,235,235,45441281,-0.5,2025-11-02 14:16:04
2024-10-18,ADBE,491.29,499,491.05,494.86,494.86,1905088,0.73,2025-11-02 14:16:04
2024-10-18,AMZN,187.15,190.74,186.28,188.99,188.99,36566996,0.98,2025-11-02 14:16:04
2024-10-18,AXP,276.8,279.2,269.05,276.79,276.79,7869044,-0.0,2025-11-02 14:16:04
2024-10-18,BABA,103.37,103.37,101.66,102.41,102.41,19646659,-0.93,2025-11-02 14:16:04
2024-10-18,BAC,42.43,42.65,42.11,42.33,42.33,25717694,-0.24,2025-11-02 14:16:04
2024-10-18,CRM,292.04,294.71,290.15,292.94,292.94,3074928,0.31,2025-11-02 14:16:04
2024-10-18,CSCO,56.41,56.87,56.21,56.74,56.74,16142036,0.59,2025-11-02 14:16:04
2024-10-18,GOOG,164.87,166.37,164.75,165.05,165.05,12717581,0.11,2025-11-02 14:16:04
2024-10-18,INTC,22.61,22.82,22.5,22.78,22.78,34377003,0.75,2025-11-02 14:16:04
2024-10-18,JPM,225,225.92,223.1,225.5,225.5,5364080,0.22,2025-11-02 14:16:04
2024-10-18,MA,514.54,518,512.58,516.45,516.45,1874671,0.37,2025-11-02 14:16:04
2024-10-18,MSFT,417.14,419.65,416.26,418.16,418.16,15820564,0.24,2025-11-02 14:16:04
2024-10-18,NFLX,737.64,766.28,736.23,763.89,763.89,15827594,3.56,2025-11-02 14:16:04
2024-10-18,NVDA,138.665,138.9,137.28,138,138,169234338,-0.48,2025-11-02 14:16:04
2024-10-18,PYPL,79.5,80.97,78.94,80.95,80.95,8266294,1.82,2025-11-02 14:16:04
2024-10-18,TSLA,220.71,222.28,219.23,220.7,220.7,49126022,-0.0,2025-11-02 14:16:04
2024-10-18,V,289.92,291.04,288.08,290.62,290.62,5169205,0.24,2025-11-02 14:16:04
2024-10-18,WFC,64.41,64.78,63.83,64.36,64.36,18231260,-0.08,2025-11-02 14:16:04
2024-10-18,A,138.53,139.52,137.24,138.88,138.88,951715,0.25,2025-11-02 14:16:04
2024-10-18,AA,41.77,42.17,40.85,41.71,41.71,4489893,-0.14,2025-11-02 14:16:04
2024-10-18,AAA,25.14,25.14,25.09,25.13,25.13,N/A,-0.04,2025-11-02 14:16:04
2024-10-18,AAAU,26.77,26.91,26.76,26.9,26.9,2126761,0.49,2025-11-02 14:16:04
2024-10-18,AABB,0.0315,0.0326,0.0301,0.0308,0.0308,4854824,-2.22,2025-11-02 14:16:04
2024-10-18,AACAY,4.15,4.28,4.15,4.22,4.22,N/A,1.69,2025-11-02 14:16:04
2024-10-18,AACG,1,1.01,0.98,1,1,N/A,0.0,2025-11-02 14:16:04
2024-10-18,AACTF,0.0207,0.0208,0.0195,0.0195,0.0195,N/A,-5.8,2025-11-02 14:16:04
2024-10-18,AADI,2.15,2.17,2.07,2.11,2.11,126137,-1.86,2025-11-02 14:16:04
2024-10-18,AADR,65.67,65.83,65.59,65.66,65.66,N/A,-0.02,2025-11-02 14:16:04
2024-10-18,AAGC,0.0009,0.001,0.0009,0.0009,0.0009,4225065,0.0,2025-11-02 14:16:04
2024-10-18,AAGFF,0.3948,0.45,0.3948,0.43,0.43,718026,8.92,2025-11-02 14:16:04
2024-10-18,AAGIY,32.67,32.77,32.46,32.66,32.66,199515,-0.03,2025-11-02 14:16:04
2024-10-18,AAL,12.86,13.24,12.76,13.09,13.09,38038325,1.79,2025-11-02 14:16:04
